trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-173.0414836382391,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.99}",25,0,-84.2697525989576,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9801}",25,0,-191.48116946922102,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.970299}",25,0,-153.45517743653912,"{0: 11, 1: 7, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.96059601}",20,0,-67.89416524808426,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.9509900498999999}",25,0,-91.41124579378955,"{0: 11, 1: 7, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.941480149401}",20,0,-139.6232673625088,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9320653479069899}",20,0,-105.55102316638288,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9227446944279201}",25,0,-132.64833395775165,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.9135172474836408}",20,0,-105.53990923540978,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.9043820750088044}",25,0,-74.51483494804741,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.6, 'e': 0.8953382542587164}",30,0,-173.68152486518616,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.6, 'e': 0.8863848717161292}",25,0,-70.061225313196,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-145.11608475436876,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.8687458127689782}",20,0,-79.99614903488765,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.8600583546412884}",35,0,-183.00650521744967,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.6, 'e': 0.8514577710948755}",30,0,-159.98845565646332,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.6, 'e': 0.8429431933839268}",20,0,-27.673976993435616,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.8345137614500875}",20,0,-58.04005366200607,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.8261686238355866}",20,0,-73.30916591594472,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.8179069375972308}",25,0,-61.079632518267914,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.8097278682212584}",30,11,-38.332672337755966,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.6, 'e': 0.8016305895390459}",25,0,-74.43910095678635,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.7936142836436554}",25,0,-105.5074031369006,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.7856781408072188}",20,10,-5.479208511930191,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.6, 'e': 0.7778213593991467}",20,0,-24.449767947462817,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.7700431458051551}",25,0,-233.11389134173675,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
28,False,"{'a': 0.6, 'e': 0.7623427143471035}",25,0,-195.68961989102127,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
29,False,"{'a': 0.6, 'e': 0.7547192872036325}",25,0,-119.03297647085081,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.7471720943315961}",20,0,-85.53186759189633,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.6, 'e': 0.7397003733882802}",25,0,-130.16838846800562,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
32,False,"{'a': 0.6, 'e': 0.7323033696543975}",30,0,-129.84859603717467,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.6, 'e': 0.7249803359578535}",30,13,-48.061140249826906,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.7177305325982749}",25,0,-158.66239188146963,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
35,False,"{'a': 0.6, 'e': 0.7105532272722921}",35,3,-216.95971007495373,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 4}",1
36,False,"{'a': 0.6, 'e': 0.7034476949995692}",25,0,-88.08251606239878,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.6, 'e': 0.6964132180495735}",25,0,-30.400435293040196,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.6894490858690778}",25,0,-112.61290281571938,"{0: 11, 1: 7, 2: 5, 3: 2, 4: 0}",0
39,False,"{'a': 0.6, 'e': 0.682554595010387}",30,0,-157.66079266076903,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
40,False,"{'a': 0.6, 'e': 0.6757290490602831}",20,0,-139.16184865501006,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",1
41,False,"{'a': 0.6, 'e': 0.6689717585696803}",25,0,-17.066583023608658,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.6, 'e': 0.6622820409839835}",20,6,-154.91376911389966,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 3}",1
43,False,"{'a': 0.6, 'e': 0.6556592205741436}",30,0,-216.6231508157713,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 5}",0
44,False,"{'a': 0.6, 'e': 0.6491026283684022}",20,0,-112.01723277083047,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.6, 'e': 0.6426116020847181}",25,0,-236.1687005310103,"{0: 9, 1: 1, 2: 12, 3: 0, 4: 3}",0
46,False,"{'a': 0.6, 'e': 0.6361854860638709}",25,0,-32.983408593373355,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.6298236312032323}",35,0,-228.84997185715886,"{0: 22, 1: 1, 2: 7, 3: 1, 4: 4}",0
48,False,"{'a': 0.6, 'e': 0.6235253948912}",20,5,-67.42810116124978,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.6, 'e': 0.617290140942288}",30,0,-138.00155818382876,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
50,False,"{'a': 0.6, 'e': 0.611117239532865}",20,0,-105.98017125914102,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
51,False,"{'a': 0.6, 'e': 0.6050060671375364}",20,0,-54.57140136376689,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
52,False,"{'a': 0.6, 'e': 0.598956006466161}",20,0,-112.20947819303757,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.5929664464014994}",20,0,-105.99887659153646,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",1
54,False,"{'a': 0.6, 'e': 0.5870367819374844}",20,0,-66.7161445830187,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
55,False,"{'a': 0.6, 'e': 0.5811664141181095}",20,0,-56.759233200710035,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.6, 'e': 0.5753547499769285}",20,15,-13.982441016903971,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.5696012024771592}",30,0,-31.638325419336237,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.6, 'e': 0.5639051904523875}",25,0,-120.42125240494849,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",1
59,False,"{'a': 0.6, 'e': 0.5582661385478637}",30,4,-40.28801136202314,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.6, 'e': 0.5526834771623851}",20,6,-94.16388366451581,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
61,False,"{'a': 0.6, 'e': 0.5471566423907612}",20,0,-35.41620598688563,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.6, 'e': 0.5416850759668536}",20,0,-98.90752175849616,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.6, 'e': 0.536268225207185}",30,0,-99.30231528172342,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
64,False,"{'a': 0.6, 'e': 0.5309055429551132}",25,0,-147.33971010954394,"{0: 18, 1: 2, 2: 0, 3: 2, 4: 3}",0
65,False,"{'a': 0.6, 'e': 0.525596487525562}",25,0,-41.42564752321514,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.6, 'e': 0.5203405226503064}",25,7,-4.903336744842738,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.5151371174238033}",25,0,-78.26656657100128,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.6, 'e': 0.5099857462495653}",25,4,-23.62147448879755,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.6, 'e': 0.5048858887870696}",20,9,-9.343946140708452,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
